Date, Price , Open , High , Low , Vol. ,Change %
6/8/2009," 10,305.21 "," 10,316.31 "," 10,388.43 "," 10,146.07 ", -   ,-79.37%
6/9/2009," 10,605.24 "," 10,352.84 "," 10,624.73 "," 10,330.98 ", -   ,2.91%
6/10/2009," 10,455.34 "," 10,615.70 "," 10,671.65 "," 10,433.30 ", -   ,-1.41%
6/11/2009," 10,466.04 "," 10,470.62 "," 10,536.33 "," 10,393.05 ", -   ,0.10%
6/12/2009," 10,510.66 "," 10,499.20 "," 10,584.05 "," 10,461.54 ", -   ,0.43%
6/13/2009," 10,510.66 "," 10,499.20 "," 10,584.05 "," 10,461.54 ", -   ,0.00%
6/14/2009," 10,510.66 "," 10,499.20 "," 10,584.05 "," 10,461.54 ", -   ,0.00%
6/15/2009," 10,434.17 "," 10,540.68 "," 10,540.68 "," 10,540.68 ", -   ,-0.73%
6/16/2009," 10,297.08 "," 10,540.68 "," 10,540.68 "," 10,540.68 ", -   ,-1.31%
6/17/2009," 10,611.60 "," 10,672.67 "," 10,672.67 "," 10,672.67 ", -   ,3.05%
6/18/2009," 10,595.22 "," 10,672.67 "," 10,672.67 "," 10,672.67 ", -   ,-0.15%
6/19/2009," 10,540.68 "," 11,173.03 "," 11,173.03 "," 11,173.03 ", -   ,-0.51%
6/20/2009," 10,540.68 "," 11,173.03 "," 11,173.03 "," 11,173.03 ", -   ,0.00%
6/21/2009," 10,540.68 "," 11,173.03 "," 11,173.03 "," 11,173.03 ", -   ,0.00%
6/22/2009," 10,535.55 "," 11,301.05 "," 11,301.05 "," 11,301.05 ", -   ,-0.05%
6/23/2009," 10,564.52 "," 11,606.76 "," 11,606.76 "," 11,606.76 ", -   ,0.27%
6/24/2009," 10,562.75 "," 11,606.76 "," 11,606.76 "," 11,606.76 ", -   ,-0.02%
6/25/2009," 10,645.85 "," 11,662.17 "," 11,662.17 "," 11,662.17 ", -   ,0.79%
6/26/2009," 10,672.67 "," 11,662.17 "," 11,662.17 "," 11,662.17 ", -   ,0.25%
6/27/2009," 10,672.67 "," 11,662.17 "," 11,662.17 "," 11,662.17 ", -   ,0.00%
6/28/2009," 10,672.67 "," 11,662.17 "," 11,662.17 "," 11,662.17 ", -   ,0.00%
6/29/2009," 10,701.79 "," 11,874.75 "," 11,874.75 "," 11,874.75 ", -   ,0.27%
6/30/2009," 10,647.69 "," 11,874.75 "," 11,874.75 "," 11,874.75 ", -   ,-0.51%
7/1/2009," 10,871.59 "," 11,957.41 "," 11,957.41 "," 11,957.41 ", -   ,2.10%
7/2/2009," 11,211.16 "," 11,957.41 "," 11,957.41 "," 11,957.41 ", -   ,3.12%
7/3/2009," 11,173.03 "," 11,957.41 "," 11,957.41 "," 11,957.41 ", -   ,-0.34%
7/4/2009," 11,173.03 "," 11,957.41 "," 11,957.41 "," 11,957.41 ", -   ,0.00%
7/5/2009," 11,173.03 "," 11,957.41 "," 11,957.41 "," 11,957.41 ", -   ,0.00%
7/6/2009," 11,245.23 "," 12,855.50 "," 12,855.50 "," 12,855.50 ", -   ,0.65%
7/7/2009," 11,343.88 "," 12,855.50 "," 12,855.50 "," 12,855.50 ", -   ,0.88%
7/8/2009," 11,208.40 "," 13,084.33 "," 13,084.33 "," 13,084.33 ", -   ,-1.19%
7/9/2009," 11,171.62 "," 13,084.33 "," 13,084.33 "," 13,084.33 ", -   ,-0.33%
7/10/2009," 11,301.05 "," 13,414.33 "," 13,414.33 "," 13,414.33 ", -   ,1.16%
7/11/2009," 11,301.05 "," 13,414.33 "," 13,414.33 "," 13,414.33 ", -   ,0.00%
7/12/2009," 11,301.05 "," 13,414.33 "," 13,414.33 "," 13,414.33 ", -   ,0.00%
7/13/2009," 11,556.78 "," 13,893.54 "," 13,893.54 "," 13,893.54 ", -   ,2.26%
7/14/2009," 11,492.97 "," 13,893.54 "," 13,893.54 "," 13,893.54 ", -   ,-0.55%
7/15/2009," 11,501.59 "," 13,893.54 "," 13,893.54 "," 13,893.54 ", -   ,0.08%
7/16/2009," 11,521.21 "," 13,893.54 "," 13,893.54 "," 13,893.54 ", -   ,0.17%
7/17/2009," 11,606.76 "," 14,209.51 "," 14,209.51 "," 14,209.51 ", -   ,0.74%
7/18/2009," 11,606.76 "," 14,209.51 "," 14,209.51 "," 14,209.51 ", -   ,0.00%
7/19/2009," 11,606.76 "," 14,209.51 "," 14,209.51 "," 14,209.51 ", -   ,0.00%
